Country,Month,streams,change_rate
AU,2023-06,246419880,
AU,2023-07,348662736,41.49
AU,2023-08,462570112,32.67
AU,2023-09,387026227,-16.33
AU,2023-10,377881824,-2.36
AU,2023-11,495877353,31.23
AU,2023-12,459882476,-7.26
AU,2024-01,399378648,-13.16
AU,2024-02,574905832,43.95
AU,2024-03,466239036,-18.9
AU,2024-04,495349205,6.24
AU,2024-05,678751536,37.02
AU,2024-06,527261334,-22.32
AU,2024-07,493401522,-6.42
AU,2024-08,615944305,24.84
AU,2024-09,495660559,-19.53
AU,2024-10,602719352,21.6
AU,2024-11,474242852,-21.32
AU,2024-12,241744236,-49.03
BR,2023-06,1305318117,
BR,2023-07,1834223256,40.52
BR,2023-08,2309433681,25.91
BR,2023-09,1851321581,-19.84
BR,2023-10,1587376322,-14.26
BR,2023-11,1997879450,25.86
BR,2023-12,1802063856,-9.8
BR,2024-01,1773377811,-1.59
BR,2024-02,2089264824,17.81
BR,2024-03,1669427907,-20.09
BR,2024-04,1677328254,0.47
BR,2024-05,2359445331,40.67
BR,2024-06,1850681491,-21.56
BR,2024-07,1727274499,-6.67
BR,2024-08,2264896490,31.13
BR,2024-09,1844996544,-18.54
BR,2024-10,2154230430,16.76
BR,2024-11,1860350343,-13.64
BR,2024-12,965293164,-48.11
DE,2023-06,542684405,
DE,2023-07,690900474,27.31
DE,2023-08,857687502,24.14
DE,2023-09,745693550,-13.06
DE,2023-10,702292699,-5.82
DE,2023-11,853932359,21.59
DE,2023-12,981783953,14.97
DE,2024-01,658157383,-32.96
DE,2024-02,855366623,29.96
DE,2024-03,719630741,-15.87
DE,2024-04,759849164,5.59
DE,2024-05,1072084421,41.09
DE,2024-06,872665825,-18.6
DE,2024-07,770361878,-11.72
DE,2024-08,896651532,16.39
DE,2024-09,727045358,-18.92
DE,2024-10,859369007,18.2
DE,2024-11,704977318,-17.97
DE,2024-12,452124987,-35.87
ES,2023-06,607790069,
ES,2023-07,871930242,43.46
ES,2023-08,967860767,11.0
ES,2023-09,743990284,-23.13
ES,2023-10,811021296,9.01
ES,2023-11,859552090,5.98
ES,2023-12,658757567,-23.36
ES,2024-01,637156043,-3.28
ES,2024-02,841787266,32.12
ES,2024-03,682164063,-18.96
ES,2024-04,709310829,3.98
ES,2024-05,917000143,29.28
ES,2024-06,698460150,-23.83
ES,2024-07,753354837,7.86
ES,2024-08,885394376,17.53
ES,2024-09,649804644,-26.61
ES,2024-10,787742321,21.23
ES,2024-11,644563378,-18.18
ES,2024-12,327686317,-49.16
FR,2023-06,393996965,
FR,2023-07,537211629,36.35
FR,2023-08,628945957,17.08
FR,2023-09,532596960,-15.32
FR,2023-10,513444264,-3.6
FR,2023-11,605701044,17.97
FR,2023-12,584622507,-3.48
FR,2024-01,532960796,-8.84
FR,2024-02,762147995,43.0
FR,2024-03,578469535,-24.1
FR,2024-04,600857295,3.87
FR,2024-05,799533082,33.07
FR,2024-06,655785006,-17.98
FR,2024-07,622971110,-5.0
FR,2024-08,768155008,23.31
FR,2024-09,628393233,-18.19
FR,2024-10,834058350,32.73
FR,2024-11,630072310,-24.46
FR,2024-12,347136645,-44.91
GB,2023-06,465266037,
GB,2023-07,599741094,28.9
GB,2023-08,729992295,21.72
GB,2023-09,601888797,-17.55
GB,2023-10,581471229,-3.39
GB,2023-11,771064386,32.61
GB,2023-12,986119782,27.89
GB,2024-01,631186358,-35.99
GB,2024-02,855160552,35.48
GB,2024-03,710186381,-16.95
GB,2024-04,778971894,9.69
GB,2024-05,1062112995,36.35
GB,2024-06,823474017,-22.47
GB,2024-07,752289054,-8.64
GB,2024-08,923498613,22.76
GB,2024-09,732986357,-20.63
GB,2024-10,882562484,20.41
GB,2024-11,712635407,-19.25
GB,2024-12,458771527,-35.62
IN,2023-06,1158434990,
IN,2023-07,1469882869,26.89
IN,2023-08,1955948288,33.07
IN,2023-09,1595326992,-18.44
IN,2023-10,1524001205,-4.47
IN,2023-11,1733106648,13.72
IN,2023-12,1487634705,-14.16
IN,2024-01,1366023063,-8.17
IN,2024-02,1689390757,23.67
IN,2024-03,1289239379,-23.69
IN,2024-04,1292192903,0.23
IN,2024-05,1655794713,28.14
IN,2024-06,1371145101,-17.19
IN,2024-07,1401883921,2.24
IN,2024-08,1760902208,25.61
IN,2024-09,1502614217,-14.67
IN,2024-10,1980815822,31.82
IN,2024-11,1579987397,-20.24
IN,2024-12,386792691,-75.52
JP,2023-06,343524871,
JP,2023-07,460529631,34.06
JP,2023-08,557963582,21.16
JP,2023-09,450233409,-19.31
JP,2023-10,464796651,3.23
JP,2023-11,589789519,26.89
JP,2023-12,491915692,-16.59
JP,2024-01,482952294,-1.82
JP,2024-02,610739469,26.46
JP,2024-03,498443872,-18.39
JP,2024-04,525909202,5.51
JP,2024-05,672454086,27.87
JP,2024-06,537371374,-20.09
JP,2024-07,537221669,-0.03
JP,2024-08,650193748,21.03
JP,2024-09,508597610,-21.78
JP,2024-10,641851249,26.2
JP,2024-11,524738121,-18.25
JP,2024-12,264854477,-49.53
KR,2023-06,39530038,
KR,2023-07,58802035,48.75
KR,2023-08,65227683,10.93
KR,2023-09,49385639,-24.29
KR,2023-10,51419775,4.12
KR,2023-11,84006715,63.37
KR,2023-12,62340506,-25.79
KR,2024-01,55445541,-11.06
KR,2024-02,64881739,17.02
KR,2024-03,52766716,-18.67
KR,2024-04,56193953,6.5
KR,2024-05,74239563,32.11
KR,2024-06,64590979,-13.0
KR,2024-07,65374315,1.21
KR,2024-08,78029329,19.36
KR,2024-09,62102807,-20.41
KR,2024-10,90077750,45.05
KR,2024-11,80954044,-10.13
KR,2024-12,40847628,-49.54
MX,2023-06,1532560944,
MX,2023-07,2038568088,33.02
MX,2023-08,2342133138,14.89
MX,2023-09,1979486234,-15.48
MX,2023-10,2068925117,4.52
MX,2023-11,2555665063,23.53
MX,2023-12,2174936412,-14.9
MX,2024-01,2252676049,3.57
MX,2024-02,2798417901,24.23
MX,2024-03,2193981087,-21.6
MX,2024-04,2201045672,0.32
MX,2024-05,2701189841,22.72
MX,2024-06,2076207734,-23.14
MX,2024-07,1920152331,-7.52
MX,2024-08,2465026984,28.38
MX,2024-09,2167538766,-12.07
MX,2024-10,2860162338,31.95
MX,2024-11,2327612445,-18.62
MX,2024-12,590337910,-74.64
SE,2023-06,176080400,
SE,2023-07,205370297,16.63
SE,2023-08,219948484,7.1
SE,2023-09,176587859,-19.71
SE,2023-10,176626865,0.02
SE,2023-11,229084713,29.7
SE,2023-12,278862294,21.73
SE,2024-01,185346666,-33.53
SE,2024-02,266749718,43.92
SE,2024-03,250445964,-6.11
SE,2024-04,234813108,-6.24
SE,2024-05,328774790,40.02
SE,2024-06,269367866,-18.07
SE,2024-07,226947531,-15.75
SE,2024-08,202799779,-10.64
SE,2024-09,200887122,-0.94
SE,2024-10,244610349,21.77
SE,2024-11,189637267,-22.47
SE,2024-12,123618018,-34.81
TH,2023-06,171849603,
TH,2023-07,242499676,41.11
TH,2023-08,336095519,38.6
TH,2023-09,274335721,-18.38
TH,2023-10,270955989,-1.23
TH,2023-11,324476089,19.75
TH,2023-12,262981068,-18.95
TH,2024-01,265650450,1.02
TH,2024-02,354274757,33.36
TH,2024-03,285879583,-19.31
TH,2024-04,281601672,-1.5
TH,2024-05,364898192,29.58
TH,2024-06,321924549,-11.78
TH,2024-07,365765018,13.62
TH,2024-08,433491260,18.52
TH,2024-09,348903246,-19.51
TH,2024-10,441565879,26.56
TH,2024-11,358729476,-18.76
TH,2024-12,176892330,-50.69
US,2023-06,1838004368,
US,2023-07,2664836459,44.99
US,2023-08,3417377049,28.24
US,2023-09,2748196917,-19.58
US,2023-10,2717353028,-1.12
US,2023-11,3432505723,26.32
US,2023-12,3307641751,-3.64
US,2024-01,2650123069,-19.88
US,2024-02,3695936835,39.46
US,2024-03,3100057586,-16.12
US,2024-04,3678157632,18.65
US,2024-05,4929485372,34.02
US,2024-06,3657589518,-25.8
US,2024-07,3401570559,-7.0
US,2024-08,4105962260,20.71
US,2024-09,3145105673,-23.4
US,2024-10,3805893005,21.01
US,2024-11,3174338563,-16.59
US,2024-12,1861161737,-41.37
VN,2023-06,103977513,
VN,2023-07,147336415,41.7
VN,2023-08,207083633,40.55
VN,2023-09,166369257,-19.66
VN,2023-10,181897215,9.33
VN,2023-11,236500045,30.02
VN,2023-12,198830424,-15.93
VN,2024-01,216564236,8.92
VN,2024-02,243808744,12.58
VN,2024-03,200558944,-17.74
VN,2024-04,186792677,-6.86
VN,2024-05,215836744,15.55
VN,2024-06,187374064,-13.19
VN,2024-07,204718945,9.26
VN,2024-08,269414569,31.6
VN,2024-09,228608402,-15.15
VN,2024-10,331602624,45.05
VN,2024-11,257615817,-22.31
VN,2024-12,147537866,-42.73
ZA,2023-06,51792372,
ZA,2023-07,65689655,26.83
ZA,2023-08,92609861,40.98
ZA,2023-09,77684252,-16.12
ZA,2023-10,86631793,11.52
ZA,2023-11,104033461,20.09
ZA,2023-12,111330538,7.01
ZA,2024-01,93870774,-15.68
ZA,2024-02,109151645,16.28
ZA,2024-03,95289115,-12.7
ZA,2024-04,96565547,1.34
ZA,2024-05,133573312,38.32
ZA,2024-06,105721296,-20.85
ZA,2024-07,103677028,-1.93
ZA,2024-08,137522482,32.65
ZA,2024-09,112917002,-17.89
ZA,2024-10,154692325,37.0
ZA,2024-11,129855852,-16.06
ZA,2024-12,68274863,-47.42
