country,track_name,artist_names,streams
AU,Cruel Summer,Taylor Swift,93535039
AU,Beautiful Things,Benson Boone,85887883
AU,Stick Season,Noah Kahan,82695113
AU,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",74392201
AU,Something in the Orange,Zach Bryan,73742512
AU,Last Night,Morgan Wallen,73534159
AU,Espresso,Sabrina Carpenter,73159937
AU,greedy,Tate McRae,72493810
AU,A Bar Song (Tipsy),Shaboozey,70970167
AU,Lose Control,Teddy Swims,69507039
BR,Let's Go 4,"Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7",301595672
BR,Lapada Dela - Ao Vivo,"Grupo Menos É Mais, Matheus Fernandes",293003507
BR,Barulho Do Foguete - Ao Vivo,Zé Neto & Cristiano,287524919
BR,Erro Gostoso - Ao Vivo,Simone Mendes,254178057
BR,Tá OK,"DENNIS, MC Kevin o Chris",239614245
BR,Nosso Quadro,"AgroPlay, Ana Castela",234600248
BR,Novo Balanço,"Veigh, Bvga Beatz, Prod Malax, Supernova Ent",230343173
BR,Canudinho - Ao Vivo,"Gusttavo Lima, Ana Castela",213260214
BR,Leão,Marília Mendonça,208188451
BR,Faz um Vuk Vuk (Teto Espelhado),"MC Kevin o Chris, Dj Nk Da Serra, Mc Magrinho",206752810
DE,Vois sur ton chemin - Techno Mix,BENNETT,139958118
DE,Prada,"cassö, RAYE, D-Block Europe",121843783
DE,Komet,"Udo Lindenberg, Apache 207",120067065
DE,Mädchen auf dem Pferd,"Luca-Dante Spadafora, Niklas Dee, Octavian, Peter Plate, Ulf Leo Sommer",109438420
DE,Ms. Jackson,Pashanim,101263815
DE,9 bis 9,"SIRA, Bausa, badchieff",100567383
DE,i like the way you kiss me,Artemas,99584832
DE,Wunder,"AYLIVA, Apache 207",98966340
DE,Beautiful Things,Benson Boone,92330758
DE,greedy,Tate McRae,91123611
ES,Columbia,Quevedo,186309047
ES,LALA,Myke Towers,149098277
ES,LUNA,"Feid, ATL Jacob",120212911
ES,El Merengue,"Marshmello, Manuel Turizo",119424424
ES,La Bachata,Manuel Turizo,118912828
ES,LA FALDA,Myke Towers,114964505
ES,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beéle",114897003
ES,Si Antes Te Hubiera Conocido,KAROL G,113824156
ES,POLARIS - Remix,"SAIKO, Quevedo, Feid, Mora",112973211
ES,Manos Rotas,"DELLAFUENTE, Morad",107221667
FR,Petit génie,"Jungeli, Imen Es, Alonzo, Abou Debeing, Lossa",151323472
FR,Casanova,"Soolking, Gazo",108826434
FR,Saiyan,"Heuss L'enfoiré, Gazo",101855274
FR,Bolide allemand,SDM,99876251
FR,FLASHBACK,"Favé, Gazo",93249967
FR,Imagine,Carbonne,89660994
FR,SPIDER,"GIMS, DYSTINCT",89110950
FR,Laboratoire,Werenoi,87626376
FR,Si No Estás,iñigo quintero,86483618
FR,LAISSE MOI,KeBlack,81102959
GB,Stick Season,Noah Kahan,167372557
GB,Espresso,Sabrina Carpenter,126735895
GB,Sprinter,"Dave, Central Cee",123546823
GB,Cruel Summer,Taylor Swift,121245042
GB,Beautiful Things,Benson Boone,116890371
GB,Lose Control,Teddy Swims,107696407
GB,Prada,"cassö, RAYE, D-Block Europe",106029324
GB,Too Sweet,Hozier,103342799
GB,BIRDS OF A FEATHER,Billie Eilish,96990942
GB,greedy,Tate McRae,95060713
IN,Chaleya,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",327756207
IN,Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Dulquer Salmaan",320924991
IN,Cheques,Shubh,289795661
IN,Pehle Bhi Main,"Vishal Mishra, Raj Shekhar",281825556
IN,"Satranga (From ""ANIMAL"")","Arijit Singh, Shreyas Puranik, Siddharth - Garima",271926049
IN,Tu hai kahan,AUR,251869772
IN,Husn,Anuv Jain,246158149
IN,One Love,Shubh,240895089
IN,Mahiye Jinna Sohna,Darshan Raval,216904600
IN,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")","Vishal Mishra, Rashmeet Kaur",215729943
JP,アイドル,YOASOBI,142401647
JP,Bling-Bang-Bang-Born,Creepy Nuts,123666350
JP,ケセラセラ,Mrs. GREEN APPLE,119091635
JP,Kaiju no Hanauta,Vaundy,118814505
JP,ダンスホール,Mrs. GREEN APPLE,114905687
JP,青と夏,Mrs. GREEN APPLE,110658048
JP,Magic,Mrs. GREEN APPLE,107383054
JP,晩餐歌,tuki.,94564674
JP,Soranji,Mrs. GREEN APPLE,94156940
JP,唱,Ado,92510800
KR,Like Crazy,Jimin,39555183
KR,Who,Jimin,36345117
KR,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",27555095
KR,Like Crazy (English Version),Jimin,23191885
KR,Set Me Free Pt.2,Jimin,19098243
KR,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",17954712
KR,Standing Next to You,Jung Kook,14655065
KR,Closer Than This,Jimin,13919904
KR,Seven (feat. Latto),"Jung Kook, Latto",12603365
KR,Grain of Sand,Lim Young Woong,11934140
MX,Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",497463545
MX,LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",445303241
MX,La Diabla,Xavi,407201367
MX,Primera Cita,Carin Leon,389396890
MX,Madonna,"Natanael Cano, Oscar Maydon",380372706
MX,Y LLORO,Junior H,367282989
MX,EL AMOR DE SU VIDA,"Grupo Frontera, Grupo Firme",362648145
MX,SABOR FRESA,Fuerza Regida,354484913
MX,La Víctima,Xavi,351575285
MX,QLONA,"KAROL G, Peso Pluma",336281947
SE,Ikväll Igen,Bolaget,44420946
SE,Djurens vaggvisa,"Humlan Djojj, Josefine Götestam",42633947
SE,Babblarnas vaggvisa,Babblarna,39749213
SE,Kan Inte Gå,Bolaget,36719565
SE,Prada,"cassö, RAYE, D-Block Europe",29983135
SE,A Bar Song (Tipsy),Shaboozey,29926736
SE,Låt Mig Va,"Bolaget, Victor Leksell",25721941
SE,Beautiful Things,Benson Boone,25380306
SE,VEM FAN E DU?,"Hooja, Miriam Bryant",23846337
SE,Josefin,Albin Lee Meldau,23281281
TH,Love Me Again,V,154456571
TH,Standing Next to You,Jung Kook,139794276
TH,Seven (feat. Latto),"Jung Kook, Latto",121489419
TH,Who,Jimin,92345870
TH,Like Crazy,Jimin,90352163
TH,MONEY,LISA,85420767
TH,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",72199813
TH,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",69703323
TH,Rockstar,LISA,68673388
TH,Nightwalker,TEN,65622332
US,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",525147569
US,Stick Season,Noah Kahan,492192493
US,Last Night,Morgan Wallen,474431256
US,Cruel Summer,Taylor Swift,457378901
US,Espresso,Sabrina Carpenter,444311116
US,Not Like Us,Kendrick Lamar,428330427
US,Something in the Orange,Zach Bryan,425141385
US,A Bar Song (Tipsy),Shaboozey,403763158
US,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",397120451
US,"Good Luck, Babe!",Chappell Roan,390542555
VN,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",99075552
VN,Seven (feat. Latto),"Jung Kook, Latto",79215281
VN,Standing Next to You,Jung Kook,72936939
VN,Like Crazy,Jimin,63642195
VN,Who,Jimin,55184088
VN,Love Me Again,V,54773344
VN,Từng Quen,"Wren Evans, itsnk",40229949
VN,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",33505517
VN,nếu lúc đó,"tlinh, 2pillz",32870680
VN,Chuyện Đôi Ta (feat. Muộii),"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",30346537
ZA,"Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)","Kabza De Small, Mthunzi, DJ Maphorisa, Young Stunna, Sizwe Alakine, Umthakathi Kush",25971555
ZA,iPlan,"Dlala Thukzin, Zaba, Sykes",18983949
ZA,Paris,"Mthandeni SK, Lwah Ndlunkulu",18023886
ZA,Awukhuzeki,"DJ Stokie, Zee_nhle, Omit ST, Sobzeen",16096571
ZA,Masithokoze,"DJ Stokie, Eemoh",15600315
ZA,Izenzo,"Bassie, Aymos, T-Man SA",15066121
ZA,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)","Tyler ICU, Tumelo_za, DJ Maphorisa, Nandipha808, Ceeka RSA, Tyrone Dee",14960245
ZA,Imnandi lento (feat. Tman Xpress),"Mellow & Sleazy, SjavasDaDeejay, TitoM, Tman Xpress",13524722
ZA,Keneilwe (feat. Dalom Kids),"Wanitwa Mos, Nkosazana Daughter, Master KG, Dalom Kids",13240969
ZA,Snooze,SZA,12572677
