Month,track_name,streams,rank
2023-06,Ella Baila Sola,68224040,1.0
2023-06,"Peso Pluma: Bzrp Music Sessions, Vol. 55",59315598,2.0
2023-06,TQM,52055449,3.0
2023-06,WHERE SHE GOES,51855037,4.0
2023-06,La Bebe - Remix,49148979,5.0
2023-07,vampire,99109527,1.0
2023-07,Seven (feat. Latto),95322877,2.0
2023-07,Cruel Summer,69626063,3.0
2023-07,LALA,67664668,4.0
2023-07,Ella Baila Sola,66041058,5.0
2023-08,Seven (feat. Latto),167725388,1.0
2023-08,Cruel Summer,98816682,2.0
2023-08,"What Was I Made For? [From The Motion Picture ""Barbie""]",91626290,3.0
2023-08,Dance The Night - From Barbie The Album,90795747,4.0
2023-08,LALA,85706563,5.0
2023-09,Paint The Town Red,130473402,1.0
2023-09,Seven (feat. Latto),119674054,2.0
2023-09,Cruel Summer,78651236,3.0
2023-09,QLONA,70516705,4.0
2023-09,LADY GAGA,68921457,5.0
2023-10,Seven (feat. Latto),100293785,1.0
2023-10,Paint The Town Red,99165008,2.0
2023-10,greedy,80409815,3.0
2023-10,3D (feat. Jack Harlow),78039283,4.0
2023-10,Cruel Summer,72596877,5.0
2023-11,greedy,103162226,1.0
2023-11,HARLEY QUINN,92258889,2.0
2023-11,Is It Over Now? (Taylor's Version) (From The Vault),88137779,3.0
2023-11,Cruel Summer,86004868,4.0
2023-11,Que Onda,83936940,5.0
2023-12,All I Want for Christmas Is You,141363839,1.0
2023-12,Rockin' Around The Christmas Tree,129450886,2.0
2023-12,Last Christmas - Single Version,126721924,3.0
2023-12,Jingle Bell Rock,93603647,4.0
2023-12,Santa Tell Me,83198685,5.0
2024-01,La Diabla,109923843,1.0
2024-01,Lovin On Me,81454765,2.0
2024-01,La Víctima,79312399,3.0
2024-01,greedy,76173107,4.0
2024-01,Stick Season,69060495,5.0
2024-02,La Diabla,122462870,1.0
2024-02,Beautiful Things,112490798,2.0
2024-02,Stick Season,96171412,3.0
2024-02,greedy,90777555,4.0
2024-02,Cruel Summer,90321537,5.0
2024-03,Beautiful Things,132274181,1.0
2024-03,End of Beginning,99875701,2.0
2024-03,CARNIVAL,99673242,3.0
2024-03,we can't be friends (wait for your love),97825642,4.0
2024-03,Lose Control,79786319,5.0
2024-04,i like the way you kiss me,138101462,1.0
2024-04,Too Sweet,134391026,2.0
2024-04,Beautiful Things,117969102,3.0
2024-04,Gata Only,95701569,4.0
2024-04,End of Beginning,93796521,5.0
2024-05,Espresso,204853792,1.0
2024-05,MILLION DOLLAR BABY,199997009,2.0
2024-05,Not Like Us,168331299,3.0
2024-05,A Bar Song (Tipsy),145509535,4.0
2024-05,Fortnight (feat. Post Malone),139342793,5.0
2024-06,Espresso,172849787,1.0
2024-06,Please Please Please,149625726,2.0
2024-06,BIRDS OF A FEATHER,147776704,3.0
2024-06,MILLION DOLLAR BABY,116396890,4.0
2024-06,Houdini,110460250,5.0
2024-07,Espresso,134038091,1.0
2024-07,Please Please Please,129186844,2.0
2024-07,BIRDS OF A FEATHER,123153014,3.0
2024-07,Not Like Us,107331497,4.0
2024-07,A Bar Song (Tipsy),95310791,5.0
2024-08,Who,184722374,1.0
2024-08,BIRDS OF A FEATHER,155063824,2.0
2024-08,Espresso,137039368,3.0
2024-08,Please Please Please,130803252,4.0
2024-08,"Good Luck, Babe!",119906593,5.0
2024-09,Die With A Smile,139092657,1.0
2024-09,Taste,124965246,2.0
2024-09,Who,118362899,3.0
2024-09,BIRDS OF A FEATHER,114296263,4.0
2024-09,Espresso,108480420,5.0
2024-10,Die With A Smile,179319274,1.0
2024-10,BIRDS OF A FEATHER,133198706,2.0
2024-10,Who,127652121,3.0
2024-10,Taste,114532766,4.0
2024-10,Espresso,105413811,5.0
2024-11,Die With A Smile,137891516,1.0
2024-11,APT.,130816764,2.0
2024-11,Tu Boda,110487443,3.0
2024-11,That’s So True,95461818,4.0
2024-11,BIRDS OF A FEATHER,94110732,5.0
2024-12,APT.,62582031,1.0
2024-12,Die With A Smile,60657699,2.0
2024-12,Last Christmas,55251205,3.0
2024-12,All I Want for Christmas Is You,55144525,4.0
2024-12,Rockin' Around The Christmas Tree,49043040,5.0
